"Source:","/Users/brett/Documents/BuoyPower/BuoyPower.kicad_sch"
"Date:","Monday, September 25, 2023 at 01:03:01 AM"
"Tool:","Eeschema (6.99.0-2504-g6a9c6e8599)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","40"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Availability","Check_prices","Description","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","Mfr 1","Mfr 1 PN","PARTREV","Package","Price","Purchase-URL","STANDARD","SnapEDA_Link","Supplier 1 Link"
"","","BT2","Battery_Cell","Device:Battery_Cell","Battery:BatteryHolder_Keystone_3002_1x2032","~","","","","","","","","Keystone Electronics","3002TR","","","","","","","https://www.digikey.com/en/products/detail/keystone-electronics/3002TR/306867"
"","","C1","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","YAGEO","CC0805KRX7R9BB104","","","","","","","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874"
"","","C2","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","YAGEO","CC0805KRX7R9BB104","","","","","","","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874"
"","","C3","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","YAGEO","CC0805KRX7R9BB104","","","","","","","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874"
"","","C11","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","Samsung Electro-Mechanics","CL21A106KOCLRNC","","","","","","","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOCLRNC/3888057"
"","","C12","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","YAGEO","CC0805KRX7R9BB104","","","","","","","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874"
"","","C13","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","YAGEO","CC0805KRX7R9BB104","","","","","","","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874"
"","","C15","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","YAGEO","CC0805KRX7R9BB104","","","","","","","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874"
"","","D1","BAT20J","Device:D_Schottky","Diode_SMD:D_SOD-323_HandSoldering","~","","","","","","","","STMicroelectronics","BAT20JFILM","","","","","","","https://www.digikey.com/en/products/detail/stmicroelectronics/BAT20JFILM/669137?s=N4IgTCBcDaIEIEEAqYAMApEBdAvkA"
